"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"3/17/2021","1615939200","115093263.15625","209818.4715317384375","1,823.03"
"3/18/2021","1616025600","115106794.78125","204448.084618665","1,776.16"
"3/19/2021","1616112000","115120323.40625","208340.156487695","1,809.76"
"3/20/2021","1616198400","115133914.28125","207873.1308956540625","1,805.49"
"3/21/2021","1616284800","115147280.40625","205415.839407925625","1,783.94"
"3/22/2021","1616371200","115160789.96875","193706.2067669359375","1,682.05"
"3/23/2021","1616457600","115174342.78125","192190.2740556440625","1,668.69"
"3/24/2021","1616544000","115187864.53125","182370.03464045625","1,583.24"
"3/25/2021","1616630400","115201408.96875","182979.005921424375","1,588.34"
"3/26/2021","1616716800","115214999.03125","195852.8247032315625","1,699.89"
"3/27/2021","1616803200","115228491.65625","197494.720989313125","1,713.94"
"3/28/2021","1616889600","115241995.96875","194383.284280329375","1,686.74"
"3/29/2021","1616976000","115255563.15625","209359.425362065","1,816.48"
"3/30/2021","1617062400","115269136.65625","212256.58823881875","1,841.40"
"3/31/2021","1617148800","115282571.03125","221236.47641465125","1,919.08"
"4/1/2021","1617235200","115296094.78125","226864.6668182221875","1,967.67"
"4/2/2021","1617321600","115309519.65625","246123.557325479375","2,134.46"
"4/3/2021","1617408000","115323099.65625","231706.0185983409375","2,009.19"
"4/4/2021","1617494400","115336738.84375","239510.578617708125","2,076.62"
"4/5/2021","1617580800","115350268.71875","243127.2218865709375","2,107.73"
"4/6/2021","1617667200","115363772.84375","243681.7437401246875","2,112.29"
"4/7/2021","1617753600","115377089.65625","226621.371961013125","1,964.18"
"4/8/2021","1617840000","115390577.15625","240140.4840256434375","2,081.11"
"4/9/2021","1617926400","115403966.21875","238488.0663893578125","2,066.55"
"4/10/2021","1618012800","115417591.59375","246280.365294575625","2,133.82"
"4/11/2021","1618099200","115431175.34375","248239.359823748125","2,150.54"
"4/12/2021","1618185600","115444741.21875","246796.6133300315625","2,137.79"
"4/13/2021","1618272000","115458221.71875","265399.195936021875","2,298.66"
"4/14/2021","1618358400","115471658.59375","280810.907667796875","2,431.86"
"4/15/2021","1618444800","115485133.90625","290685.32085274375","2,517.08"
"4/16/2021","1618531200","115498527.96875","280766.5266245140625","2,430.91"
"4/17/2021","1618617600","115511978.34375","267757.9209205959375","2,318.01"
"4/18/2021","1618704000","115525515.15625","258888.05844455","2,240.96"
"4/19/2021","1618790400","115538828.15625","249952.079280105","2,163.36"
"4/20/2021","1618876800","115552528.28125","269520.4945896015625","2,332.45"
"4/21/2021","1618963200","115566103.65625","272457.4903189384375","2,357.59"
"4/22/2021","1619049600","115579497.53125","278602.0672091275","2,410.48"
"4/23/2021","1619136000","115592949.34375","273917.1442714040625","2,369.67"
"4/24/2021","1619222400","115606495.53125","256248.7337347475","2,216.56"
"4/25/2021","1619308800","115620034.84375","268485.907712065625","2,322.14"
"4/26/2021","1619395200","115633522.65625","293119.416581328125","2,534.90"
"4/27/2021","1619481600","115647006.34375","308538.1176346809375","2,667.93"
"4/28/2021","1619568000","115660554.09375","318171.7748620378125","2,750.91"
"4/29/2021","1619654400","115674028.09375","319082.179535485625","2,758.46"
"4/30/2021","1619740800","115687431.96875","321143.68364797125","2,775.96"
"5/1/2021","1619827200","115700977.09375","341063.34027695625","2,947.80"
"5/2/2021","1619913600","115714404.28125","341845.807415754375","2,954.22"
"5/3/2021","1620000000","115727953.53125","397202.6393894915625","3,432.21"
"5/4/2021","1620086400","115741472.71875","375128.5298140134375","3,241.09"
"5/5/2021","1620172800","115755041.90625","407710.093501355625","3,522.18"
"5/6/2021","1620259200","115768503.96875","404233.516047843125","3,491.74"
"5/7/2021","1620345600","115781942.09375","403379.65497694125","3,483.96"
"5/8/2021","1620432000","115795416.03125","453483.7980323828125","3,916.25"
"5/9/2021","1620518400","115808867.46875","454788.371081829375","3,927.06"
"5/10/2021","1620604800","115822457.03125","457084.060877265625","3,946.42"
"5/11/2021","1620691200","115835915.34375","484342.396108515","4,181.28"
"5/12/2021","1620777600","115849351.65625","441535.4754739490625","3,811.29"
"5/13/2021","1620864000","115863008.84375","430893.3712598178125","3,718.99"
"5/14/2021","1620950400","115876508.65625","473589.608408266875","4,087.02"
"5/15/2021","1621036800","115890040.34375","422307.94261423875","3,644.04"
"5/16/2021","1621123200","115903500.59375","415650.815759294375","3,586.18"
"5/17/2021","1621209600","115916930.15625","380292.1502715140625","3,280.73"
"5/18/2021","1621296000","115930430.59375","391572.4188949796875","3,377.65"
